R1_input,R2_input,R1_top,R2_top,R1_bot,R2_bot
crRNA0001:12-34,760.687872763175,676.842385836879,667.984462908491,590.365160345808,794.931258896617,789.270936820575
crRNA0002:13-35,798.098751751528,829.884325491575,725.459225491439,568.600546139511,797.98868681545,860.483352172807
crRNA0003:14-36,560.272449611285,678.763414368109,574.747625829486,655.6590029647,712.380705088122,797.183427415267
crRNA0004:15-37,684.084644358453,692.210614086723,661.598378177052,632.080670907878,834.677821841448,680.474191143553
crRNA0005:16-38,854.215070234057,874.067981709877,950.249408038083,818.893609511928,830.091679963198,952.466055336107
crRNA0006:17-39,785.62845875541,859.340096303776,1010.27860451361,837.030788017175,848.436247476197,821.909960523681
crRNA0007:18-40,929.036828210763,840.129810991471,914.487333542026,888.721746757131,1253.54544672159,1093.90182471624
crRNA0008:19-41,663.597734436259,626.255301181142,753.55799830977,525.071317726917,949.331368797691,595.414917250609
crRNA0009:20-42,529.987452334999,580.150616431611,499.391825998509,497.865549969046,609.956869807212,489.585355546597
crRNA0010:21-43,649.345971012125,633.939415306064,487.896873481919,570.414263990036,619.129153563711,666.627332602841
crRNA0011:22-44,424.880697082008,546.212445713205,397.214470295489,411.71395206912,565.624164984131,536.071237790415
crRNA0012:23-45,490.795102918629,359.232335340103,343.571358551404,321.028059542882,536.578599755217,423.318246816048
crRNA0013:24-46,792.754340467478,508.432217932339,458.520883717301,467.032346510125,877.481812705112,675.528884521871
crRNA0014:25-47,335.807175681168,437.35416227681,524.936164924263,372.719018282837,368.420064219394,391.668284437278
crRNA0015:26-48,309.085119260915,465.529247401524,303.977633216483,260.268511550303,397.465629448309,509.366582033328
crRNA0016:28-50,551.365097471201,681.324785743083,536.431117440853,555.904521185838,779.644119302451,568.710261493522
crRNA0017:29-51,487.232162062596,475.77473290142,559.421022474033,411.71395206912,634.416293157877,414.416694897019
crRNA0018:30-52,691.21052607052,697.973699680414,523.658947977976,563.159392587937,837.735249760281,795.205304766594
crRNA0019:31-53,786.519193969419,714.622613617745,731.845310222878,698.281372452031,802.5748286937,807.074040658633
crRNA0020:32-54,719.714052918789,735.753927461281,595.183096970089,658.379579740487,732.253986560538,692.342927035592
crRNA0021:33-55,596.792593385629,596.159187525198,593.905880023802,554.997662260576,567.152878943548,545.961851033781
crRNA0022:34-56,521.970835408923,571.826159462945,651.38064260675,530.512471278491,775.057977424202,733.883502657727
crRNA0023:35-57,554.928038327234,570.545473775458,745.894696632044,526.885035577442,626.772723360794,585.524304007243
crRNA0024:36-58,560.272449611285,747.280098648664,602.846398647816,591.272019271071,736.840128438787,673.550761873197
crRNA0025:37-59,688.538320428495,723.587413430154,818.696062570445,702.815667078343,859.137245192113,767.511587685171
crRNA0026:38-60,640.438618872041,583.992673494071,647.548991767887,534.139906979541,715.438133006955,631.021124926725
crRNA0027:39-61,677.849497860394,691.570271242979,528.767815763127,430.75798949963,746.012412195287,875.319272037856
crRNA0028:40-62,487.232162062596,475.134390057677,540.262768279716,336.444661272342,496.832036810386,474.749435681549
crRNA0029:41-63,536.222598833058,525.08113186967,510.886778515098,400.831644965971,587.026160415963,425.296369464721
crRNA0030:42-64,339.370116537201,350.907878371438,411.263856704654,343.699532674441,354.661638584645,460.902577140837
crRNA0031:43-65,513.954218482848,393.170506058509,524.936164924263,426.223694873318,536.578599755217,455.957270519154
crRNA0032:44-66,396.377170233739,558.378959744331,685.865500156519,484.26266609011,486.13103909447,463.869761113847
crRNA0033:45-67,447.149077432218,398.9335916522,461.075317609876,326.469213094456,469.315185540887,424.307308140384
crRNA0034:46-68,179.928513229697,207.471081372894,203.077494459752,268.430241877664,155.92882386049,271.002802868217
crRNA0035:47-69,358.966291245386,318.890736184263,381.887866940036,406.272798517545,366.891350259977,296.718397300968
crRNA0036:48-70,400.830846303781,287.513936840831,302.700416270196,240.31761519453,304.214077923898,307.59807186867
crRNA0037:49-71,480.106280350529,389.328448996048,554.312154688882,557.718239036363,435.683478433723,441.121350654106
crRNA0038:50-72,574.524213035419,562.221016806793,859.567004851653,517.816446324818,553.394453308799,644.867983467437
crRNA0039:51-73,577.196418677444,544.291417181975,561.975456366608,455.243180481714,587.026160415963,576.622752088214
crRNA0040:52-74,472.089663424453,395.091534589739,532.59946660199,579.48285324266,504.475606607469,482.661926276241
crRNA0041:53-75,382.125406809604,428.389362464401,375.501782208597,413.527669919644,328.673501274563,496.508784816953
crRNA0042:54-76,572.742742607402,481.537818495112,412.541073650942,454.336321556452,542.693455592883,503.432214087309
crRNA0043:55-77,471.198928210445,381.003992027382,448.303148146999,408.08651636807,527.406315998717,470.793190384203
crRNA0044:56-78,488.122897276604,411.74044852707,527.490598816839,352.768121927065,550.337025389966,661.682025981159
crRNA0045:57-79,351.840409533319,323.373136090467,443.194280361848,226.714731315595,343.960640868729,343.204279544786
crRNA0046:58-80,546.911421401159,511.633932151056,619.450218949557,519.630164175343,527.406315998717,549.918096331127
crRNA0047:59-81,627.077590661915,594.878501837711,676.924981532505,575.85541754161,640.531148995543,655.747658035139
crRNA0048:60-82,440.913930934159,378.442620652408,491.728524320782,329.189789870243,460.142901784388,442.110411978442
crRNA0049:61-83,607.48141595373,521.879417650952,560.69823942032,589.458301420546,687.921281737457,559.808709574493
crRNA0050:62-84,262.766888132479,328.495878840415,197.968626674601,310.145752439733,311.857647720981,336.28085027443
crRNA0051:63-85,478.324809922512,516.116332057261,392.105602510338,450.708885855402,528.935029958134,462.88069978951
crRNA0052:64-86,531.768922763016,557.098274056845,536.431117440853,531.419330203754,531.992457876967,587.502426655917
crRNA0053:65-87,554.928038327234,484.099189870086,643.717340929024,454.336321556452,626.772723360794,567.721200169185
crRNA0054:66-88,456.056429572302,491.142961151264,463.629751502452,611.222915626843,522.820174120467,577.611813412551
crRNA0055:67-89,552.255832685209,710.140213711541,590.074229184939,614.850351327892,730.725272601121,706.189785576304
crRNA0056:68-90,562.053920039301,437.35416227681,546.648853011155,474.287217912224,596.198444172463,493.541600843943
crRNA0057:69-91,430.225108366058,467.450275932755,430.42211089897,382.694466460724,486.13103909447,403.537020329316
crRNA0058:70-92,571.852007393394,487.941246932547,528.767815763127,368.184723656526,530.46374391755,431.23073741074
crRNA0059:71-93,563.835390467318,484.739532713829,427.867677006395,564.066251513199,596.198444172463,520.246256601031
crRNA0060:72-94,358.966291245386,403.415991558405,324.413104357087,475.194076837486,556.451881227632,455.957270519154
crRNA0061:73-95,387.469818093655,532.124903150848,443.194280361848,419.875682396481,502.946892648052,435.186982708086
crRNA0062:74-96,461.400840856352,371.39884937123,381.887866940036,321.934918468144,424.982480717807,396.613591058961
crRNA0063:75-97,448.039812646226,465.529247401524,489.174090428207,379.973889684937,438.740906352556,351.116770139479
crRNA0064:76-98,498.811719844705,514.835646369774,426.590460060107,435.292284125942,478.487469297387,464.858822438183
crRNA0065:77-99,578.087153891453,484.739532713829,509.609561568811,418.968823471219,551.865739349382,668.605455251515
crRNA0066:78-100,591.448182101579,580.150616431611,464.906968448739,578.575994317397,700.15099341279,622.119573007696
crRNA0067:79-101,611.044356809764,596.799530368942,609.232483379255,336.444661272342,557.980595187049,686.408559089573
crRNA0068:80-102,779.393312257352,580.790959275354,537.708334387141,610.316056701581,776.586691383618,804.106856685623
crRNA0069:81-103,659.144058366217,721.02604205518,601.569181701528,560.43881581215,629.830151279627,617.174266386013
crRNA0070:82-104,783.846988327394,794.665469085683,776.547903342949,702.815667078343,996.721501539605,911.914541038308
crRNA0071:83-105,733.965816342923,897.120324084643,867.230306529379,608.502338851056,759.770837830036,903.012989119279
crRNA0072:84-106,717.932582490772,660.833814743291,839.131533711049,742.717459789888,903.469950015194,959.389484606463
crRNA0073:85-107,741.09169805499,619.851872743708,540.262768279716,733.648870537264,797.98868681545,794.216243442258
crRNA0074:86-108,695.664202140562,779.297240835839,855.73535401279,675.609899320472,926.400659406442,781.358446225882
crRNA0075:87-109,847.08918852199,1024.5485499896,957.912709715809,873.30514502767,1018.12349697144,1112.69398987863
crRNA0076:88-110,1057.30269902797,883.032781522286,790.597289752115,820.707327362452,1138.89189976535,1385.67491539552
crRNA0077:89-111,905.877712646545,1005.97860752104,749.726347470907,642.962978011026,1126.66218809001,1074.1205982295
crRNA0078:90-112,782.065517899377,591.03644477525,665.430029015915,621.198363804729,1018.12349697144,653.769535386466
crRNA0079:91-113,624.40538501989,668.517928868213,823.804930355596,758.134061519348,912.642233771693,697.288233657275
crRNA0080:92-114,659.144058366217,632.658729618577,530.045032709414,583.110288943709,837.735249760281,672.561700548861
crRNA0081:93-115,676.958762646385,721.02604205518,776.547903342949,627.546376281566,726.139130722871,617.174266386013
crRNA0082:94-116,607.48141595373,622.413244118682,616.895785056981,567.693687214249,762.828265748869,588.491487980253
crRNA0083:95-117,660.925528794234,672.359985930674,811.032760892718,617.57092810368,804.103542653117,780.369384901546
crRNA0084:96-118,736.638021984948,713.982270774002,648.826208714175,517.816446324818,819.390682247282,865.42865879449
crRNA0085:97-119,662.706999222251,619.851872743708,573.470408883198,609.409197776318,791.873830977784,640.911738170091
crRNA0086:98-120,519.298629766898,632.658729618577,595.183096970089,396.297350339659,660.404430467959,624.097695656369
crRNA0087:99-121,583.431565175503,622.413244118682,684.588283210232,623.012081655254,561.038023105882,735.861625306401
crRNA0088:100-122,594.120387743604,624.334272649912,522.381731031688,673.796181469947,686.392567778041,633.988308899735
crRNA0089:101-123,692.101261284528,642.26387227473,680.756632371368,596.713172822645,764.356979708286,590.469610628926
crRNA0090:102-124,552.255832685209,564.782388181767,509.609561568811,369.091582581788,684.863853818624,543.983728385108
crRNA0091:103-125,334.916440467159,420.705248339479,320.581453518224,278.40569005555,360.776494422311,360.018322058508
crRNA0092:104-126,318.883206615008,359.232335340103,324.413104357087,349.140686226016,435.683478433723,341.226156896113
crRNA0093:105-127,473.87113385247,452.722390526654,496.837392105933,440.733437677516,420.396338839557,468.815067735529
crRNA0094:106-128,342.042322179226,393.810848902252,416.372724489805,380.880748610199,284.340796451482,414.416694897019
crRNA0095:107-129,261.87615291847,217.71656687279,263.106690935276,305.611457813422,175.802105332906,190.888835596956
crRNA0100:112-134,61.4607297665797,105.656569217677,26.8215558720427,93.406469302025,48.9188467013303,54.3983728385108
crRNA0101:113-135,402.612316731798,494.985018213725,441.91706341556,631.173811982615,483.073611175637,479.694742303232
crRNA0102:114-136,334.025705253151,421.345591183223,441.91706341556,399.924786040709,328.673501274563,447.055718600125
crRNA0103:115-137,466.745252140403,466.809933089011,535.153900494565,389.04247893756,506.004320566885,421.340124167375
crRNA0104:116-138,378.562465953571,507.791875088595,427.867677006395,533.233048054278,464.729043662638,464.858822438183
crRNA0105:117-139,334.025705253151,436.713819433067,386.996734725187,447.081450154352,476.95875533797,406.504204302326
crRNA0106:118-140,456.056429572302,414.301819902044,459.798100663588,376.346453983887,469.315185540887,456.946331843491
crRNA0107:119-141,474.761869066478,430.310390995632,418.927158382381,423.503118097531,587.026160415963,510.355643357665
crRNA0108:120-142,391.923494163697,477.055418588907,457.243666771013,352.768121927065,440.269620311973,542.005605736435
crRNA0109:121-143,341.151586965218,348.986849840207,312.918151840498,379.973889684937,377.592347975893,350.127708815142
crRNA0110:122-144,291.270414980747,282.391194090883,241.394002848384,282.939984681862,291.984366248565,308.587133193007
crRNA0111:123-145,286.816738910705,293.917365278266,192.85975888945,260.268511550303,250.709089344318,305.619949219997
crRNA0112:124-146,363.419967315428,413.021134214557,388.273951671475,227.621590240857,316.44378959923,382.766732518249
crRNA0113:125-147,455.165694358293,422.62627687071,402.32333808064,470.659782211174,493.774608891553,441.121350654106
crRNA0114:126-148,550.474362257192,510.353246463569,555.589371635169,484.26266609011,509.061748485718,478.705680978895
crRNA0115:127-149,507.719071984789,524.440789025926,379.33343304746,487.89010179116,603.842013969546,614.207082413004
crRNA0116:128-150,526.424511478965,506.511189401108,353.789094121706,573.134840765823,506.004320566885,522.224379249704
crRNA0117:129-151,513.063483268839,516.116332057261,505.777910729947,534.139906979541,408.166627164225,490.574416870934
crRNA0118:130-152,668.051410506301,470.011647307729,515.995646300249,607.595479925793,486.13103909447,578.600874736888
crRNA0119:131-153,377.671730739562,388.688106152304,476.401920965329,408.993375293333,466.257757622054,439.143228005433
crRNA0120:132-154,519.298629766898,531.484560307105,570.915974990622,574.041699691085,551.865739349382,547.939973682454
crRNA0121:133-155,553.146567899218,616.009815681247,675.647764586217,663.820733292061,557.980595187049,645.857044791774
crRNA0122:134-156,622.623914591873,614.088787150016,726.736442437727,665.634451142586,565.624164984131,714.102276170996
crRNA0123:135-157,629.74979630394,502.028789494904,413.81829059723,495.144973193259,590.083588334797,657.725780683812
crRNA0124:136-158,509.500542412806,449.520676307937,447.025931200711,526.885035577442,519.762746201634,505.410336735982
crRNA0125:137-159,765.141548833217,671.719643086931,470.01583623389,739.996883014101,530.46374391755,708.167908224977
crRNA0126:138-160,676.068027432377,562.861359650536,420.204375328668,488.796960716422,668.048000265042,610.250837115658
