R1_input,R2_input,R1_top,R2_top,R1_bot,R2_bot
crRNA0001:1-23,479.215970313854,513.175628980505,527.963945540796,423.757622436557,560.233460699027,529.062609380218
crRNA0002:3-25,655.262749411042,580.431274415306,563.084429036221,703.956668997719,833.05348493688,652.811208390378
crRNA0003:5-27,720.250902010519,848.54810840279,770.137322179442,751.877843444973,822.281944759407,843.082070332254
crRNA0004:7-29,774.535039831077,756.875665375116,700.341763281153,736.959310909665,942.730780722729,868.155623249826
crRNA0005:9-31,528.65860047167,590.315969051705,679.155306689693,610.29921081589,613.616883838492,612.554809563552
crRNA0006:11-33,545.250384418709,560.121830345452,502.174247557549,496.701752308687,619.692260411987,598.127981452825
crRNA0007:13-35,645.585940766867,703.058783948671,678.267376043392,589.007374355651,741.028038004975,760.809360469184
crRNA0008:15-37,723.325192268403,743.337003717709,751.718487420953,762.375835424295,795.576314860358,855.390522155824
crRNA0009:17-39,498.357443596615,563.788537202717,510.634927470703,517.803090730075,632.06666545803,588.638929402804
crRNA0010:52-74,451.463561017894,460.646107684096,446.212598258053,397.0781251077,463.369669124597,508.862694802586
crRNA0011:54-76,359.10076093748,389.616660364184,321.579531076729,363.753059754265,352.590574758145,370.016027876256
crRNA0012:56-78,523.19888984078,485.391194743711,476.153752408862,428.314463493633,396.597986045345,532.562838798965
crRNA0013:58-80,627.373927108775,644.756564789047,729.136858038657,621.854230343389,573.856786354841,717.659800316245
crRNA0014:60-82,512.996604478383,459.878013574805,408.072289969144,451.104599508888,450.330126438395,532.554060054241
crRNA0015:62-84,602.477592842244,585.08005657594,598.094410312217,571.539900485396,631.42486674422,601.841142428887
crRNA0016:64-86,372.437320999297,348.327198467314,305.667135923307,319.382189103402,413.840033959341,450.165920142687
crRNA0017:66-88,451.470832894782,452.009046250948,395.158266188263,382.642038970773,448.120370407288,434.887902386109
crRNA0018:68-90,258.509605480256,255.173153284208,300.41273302962,282.266242127525,341.947394663281,297.715143406909
crRNA0019:70-92,267.284164016528,237.078862397494,238.427893311214,248.382395379549,259.147299663013,322.945411901309
crRNA0020:72-94,343.283057771328,352.508430548187,393.726574173998,327.708704288701,368.263669576848,461.918621523411
crRNA0021:74-96,410.711385315368,407.548267559164,389.458663840628,397.14997813789,406.438127416826,379.526319379003
crRNA0022:76-98,554.787572287645,587.63379441318,530.639440658408,546.055873419953,575.615305982429,572.15472695193
crRNA0023:78-100,696.336362455284,575.730666760425,576.730730147262,592.350503048327,694.754939261428,735.198034884862
crRNA0024:80-102,519.889082385377,512.735143191147,529.860030416412,498.030382806694,575.747372525272,579.01299256233
crRNA0025:82-104,566.273421285098,525.258163798331,455.573755330194,461.01736264619,589.422108407932,591.76697942939
crRNA0026:84-106,545.303146198224,666.076254294653,607.23118209513,543.625879352687,723.547211543481,702.013055469168
crRNA0027:86-108,564.860264575392,626.016578005566,489.558382844434,470.861394911365,538.051344544372,524.208212316339
crRNA0028:88-110,82.0356309177027,69.0683139432719,73.2465834866518,84.0926635752302,53.8771647756035,56.3472394274749
crRNA0029:90-112,518.602430499623,577.284862280886,664.889506471126,587.000252122837,646.499124650717,647.812369874769
crRNA0030:92-114,518.10644702034,544.739244915547,479.743277482618,486.568188015512,653.932485988542,540.788990913855
crRNA0031:94-116,478.53427293311,511.502101906953,484.34452693933,435.589895393828,613.956436612997,492.631360961614
crRNA0033:98-120,540.97667205014,659.104866086902,567.389126000365,576.286991094999,636.708129291255,541.168440105284
crRNA0034:100-122,519.714060465794,504.033313927649,767.484932669262,787.977346687652,359.199230242428,349.720386136472
crRNA0035:102-124,528.511960884371,596.048505043715,778.039993823439,834.965468948031,447.475350042842,383.722175814334
crRNA0036:104-126,538.711027699508,543.887990014463,745.660713278003,708.332095173694,352.681311614295,356.183918860791
crRNA0037:106-128,546.963207069457,621.944104843663,617.499063453296,604.054781629558,549.923240658768,496.972554253975
crRNA0038:108-130,274.521376411553,282.937329180164,296.321428184764,247.047798822351,297.452543555211,287.188899533855
crRNA0039:110-132,644.004279229542,721.277554712404,677.928148148647,705.63447918522,741.199595937706,659.257580181117
crRNA0040:112-134,445.903017586328,466.849338493864,631.600124970196,645.95385159818,495.44261738542,496.911970612
crRNA0041:114-136,494.875681821532,492.257085094333,662.287511002978,644.080544382281,388.122226056331,422.931319244283
crRNA0042:116-138,550.600232062982,438.571916350484,607.282579717728,650.042309735271,365.880260192674,388.245815584437
crRNA0043:118-140,528.081555927136,583.106499205479,744.137229848127,741.640348799952,433.05200964053,371.817605919899
crRNA0044:120-142,571.361912144988,635.262710118947,753.589156440988,740.197517716728,513.042300514544,450.519670561531
crRNA0045:124-146,555.507362543544,618.307389121617,861.09179684794,911.066326895705,377.171576284148,306.47471051509
crRNA0046:126-148,980.378913179397,1230.5295542049,1423.66897006109,1339.96393131739,678.931416219379,605.87826561867
crRNA0047:128-150,595.661167910648,613.338942367135,563.744543799124,630.314247462387,610.091234260623,547.030986951134
crRNA0048:130-152,516.226702600658,528.131548504472,580.358512359797,582.99349592528,467.486724768777,473.578669312884
crRNA0049:132-154,333.221130831333,398.153716489168,471.035475620643,429.251934826015,348.991725073892,368.736673926398
crRNA0050:134-156,526.962670305282,591.097725536608,552.527037939421,513.62719581337,505.211242420765,429.358562118736
crRNA0051:136-158,425.04228374302,454.629167383982,542.141881810182,527.844863921514,410.426979525058,414.503155052647
crRNA0052:138-160,410.529983492172,438.624455419206,505.914007217492,487.148164131235,364.300308887889,330.962469903678
crRNA0053:140-162,629.843279828515,615.628817073037,593.455127916737,518.621823869153,516.930261762107,749.336442159899
crRNA0054:142-164,775.161053237245,766.169173467731,672.705783064944,713.90025556934,853.5842036502,703.593612855639
crRNA0055:144-166,872.783459941067,915.003727433995,834.038814416378,888.344404237721,865.821390971103,918.358668670617
crRNA0056:146-168,897.690472978503,903.848958299339,1065.18399508306,1099.20590216208,696.352162695556,707.909489821099
crRNA0057:148-170,817.774251632604,846.843427774852,914.164543934537,981.778582615616,927.752215428561,1014.44035854361
crRNA0058:150-172,633.947404782022,702.350949189274,645.641468109445,695.012399785414,566.731419263967,569.78749480482
crRNA0059:152-174,625.929529206328,705.812903626732,1414.82621410249,1544.27252188608,296.299163692546,246.730255411665
crRNA0060:154-176,607.269511927463,671.96379223935,1100.03117356035,1164.96416597787,332.192467899274,309.602084552355
crRNA0061:156-178,677.213039286638,838.379248843255,2284.89067043539,2439.02216545723,349.121109341587,238.384768550666
crRNA0062:158-180,660.170795009135,693.574046651839,1333.14757840631,1171.38154354915,435.397623280408,405.172222195228
crRNA0064:162-184,843.429884058088,918.74993334718,1183.11779412643,1226.76239972166,804.602925330853,547.671012942696
crRNA0065:164-186,620.610003066422,651.578587001259,540.546799624194,580.792773827764,564.428275095396,599.456494796928
crRNA0066:166-188,809.004080330759,874.858440390103,989.426029743868,1137.03296797175,693.578846341808,662.116443602352
crRNA0068:170-192,680.049410911694,749.485351142923,751.460983119818,803.741911017168,580.14994372509,539.681494377536
crRNA0069:172-194,773.760215918207,758.830113976333,1004.34740908642,1087.20254436747,584.765347472155,480.517729128918
crRNA0070:174-196,528.999831763223,537.689817421205,580.616599653006,676.84933227225,485.620362847983,449.805688532378
crRNA0071:176-198,581.548138543696,557.145375177666,605.773309208374,553.281169019986,641.83906216738,576.544741173594
crRNA0072:178-200,587.150964695403,569.787890706463,641.473283587268,652.876364009248,507.499692977237,530.119688462144
