R1_input,R2_input,R1_top,R2_top,R1_bot,R2_bot
crRNA0001:12-34,742.1975866942,693.505863595101,664.093397130122,618.750286189533,770.696237902144,788.401790050401
crRNA0002:13-35,786.584465830609,823.059762775638,722.209960228849,607.176412162263,786.487398794919,847.396181312377
crRNA0003:14-36,591.804196625835,659.927579926455,603.988401607288,640.131183501728,717.02131573704,760.195827205381
crRNA0004:15-37,678.970727666111,706.236884440328,661.552057578372,648.105239373427,792.597291362759,694.912370713147
crRNA0005:16-38,859.057854682219,875.705611505665,938.753376572836,827.358163941636,838.809840023915,943.740823378204
crRNA0006:17-39,796.880654172771,869.951811689967,967.308667745638,847.918821423955,845.534777038743,832.977426696112
crRNA0007:18-40,924.322910528791,870.685015682736,912.569580554565,915.697502315079,1178.4780801186,1103.15145119464
crRNA0008:19-41,639.927822184907,670.088207981956,704.544994499822,573.200453174137,839.116394438765,640.757180255225
crRNA0009:20-42,527.113624834109,580.915478867146,502.019602541489,507.536555640098,591.533389662416,500.078404693985
crRNA0010:21-43,645.666140979725,624.370791391201,515.286601654298,566.011075349558,621.835255771223,654.241147556676
crRNA0011:22-44,439.278759720645,531.990333006926,415.843098451907,413.779018517543,554.575641654815,523.198398969475
crRNA0012:23-45,457.313313295215,380.30814161454,345.262530489991,343.30739105472,490.630838350436,441.628735146836
crRNA0013:24-46,724.03733933221,543.402241829763,469.850586641131,502.493858995188,784.527160148724,706.128321484958
crRNA0014:25-47,349.089710131873,438.237994572853,494.555070316232,376.041402020844,375.240153823861,394.317821821
crRNA0015:26-48,325.298681418409,435.362907462199,320.592974620868,271.409036636472,405.354440173175,468.426828762609
crRNA0016:28-50,560.289966406243,681.5756152845,548.218122632351,563.89985726583,737.55723112259,575.990190840771
crRNA0017:29-51,472.341674612287,501.504922558222,524.347870084662,442.99773924001,576.679834963863,445.490703797533
crRNA0018:30-52,688.683599648221,697.008115630112,550.146527262141,574.034209474752,804.631103783066,784.292562934852
crRNA0019:31-53,776.137921044479,728.275928407666,729.753434013769,714.356046482913,789.670205263754,806.083043316186
crRNA0020:32-54,715.397014648943,730.935644934951,615.808988090169,658.58165480879,725.215410901055,690.401288546195
crRNA0021:33-55,590.684070668939,597.327646925651,588.243378198648,562.964684066479,565.541130047874,555.364174378124
crRNA0022:34-56,534.104011018486,585.712096044912,640.120380295408,547.913243626719,737.908831434046,731.321378295084
crRNA0023:35-57,554.546985707754,590.087227534435,696.683759299445,547.574628205981,609.153544310726,604.627350655478
crRNA0024:36-58,581.205541999989,729.534100456548,616.893238230102,592.144417530646,726.355157084476,665.032587095278
crRNA0025:37-59,696.344581605764,738.601909372703,796.7591247277,718.537380856678,827.219849924616,780.931162469967
crRNA0026:38-60,623.891219248686,605.457609041339,629.549757112916,563.067792502439,683.031812189406,644.835909450879
crRNA0027:39-61,671.002533979124,686.712602247438,540.315559517497,464.613914093877,729.501532115738,834.208800000839
crRNA0028:40-62,468.376745810029,487.52083120875,512.82230164342,370.909785326789,476.464048648959,487.207840649989
crRNA0029:41-63,512.216135648808,535.632376519431,491.731394552518,432.107817442715,552.849967632101,452.953119442442
crRNA0030:42-64,346.915352784676,353.82157094549,409.103778098126,347.737648028291,360.284625861823,444.401307469048
crRNA0031:43-65,489.952832833781,428.21930944725,497.690466041929,451.733568040092,505.84818315466,472.368181199432
crRNA0032:44-66,416.898281910035,560.575348044978,639.485925084794,489.136970578909,488.845436935938,469.405114819188
crRNA0033:45-67,428.942364830795,415.360803112174,440.452631996916,356.20216363848,447.240957790792,435.470728810395
crRNA0034:46-68,195.749598407393,199.116998687898,215.249372081496,244.784485164532,174.966212242098,246.664178741612
crRNA0035:47-69,352.679571428049,331.362262229077,372.702818205251,401.830384364371,359.617336408793,312.893113321296
crRNA0036:48-70,369.249241836665,301.079640684441,295.028534346013,257.205238287213,296.206448598453,319.485233479907
crRNA0037:49-71,473.812655028098,407.425213533765,535.672925703738,551.233422440658,436.127038914953,452.539686568603
crRNA0038:50-72,571.143019760492,582.659864107795,783.426335915601,539.371171697309,554.604929154684,662.698088614794
crRNA0039:51-73,563.934172644389,554.508684420784,550.710317004845,481.473528162546,572.453684081874,580.395216226336
crRNA0040:52-74,470.23653896291,416.330672371892,523.380617026467,567.522880921576,498.767855612276,489.496912115034
crRNA0041:53-75,398.641706361191,410.956363773178,393.192294553452,399.513616286375,354.06136009278,462.448782474615
crRNA0042:54-76,549.845718389782,489.195950820724,426.281407288264,462.55996203511,527.325154789751,510.59677394365
crRNA0043:55-77,457.125726473487,402.187483730892,438.685168164577,425.822645167238,501.764632731293,479.584375342174
