Unnamed: 0,name,window_0,window_1,window_5,window_10,window_20,window_40,window_100
,crRNA004:7-33_FirstOrder_01,-5.699999809265137,-5.699999809265137,-5.699999809265137,-9.800000190734863,-11.5,-17.100000381469727,-43.20000076293945
,crRNA004:7-33_FirstOrder_02,-5.699999809265137,-5.699999809265137,-7.800000190734863,-11.699999809265137,-14.600000381469727,-18.799999237060547,-41.79999923706055
,crRNA004:7-33_FirstOrder_03,-5.699999809265137,-5.699999809265137,-5.800000190734863,-10.5,-13.399999618530273,-17.399999618530273,-41.0
,crRNA004:7-33_FirstOrder_04,-5.699999809265137,-5.699999809265137,-5.800000190734863,-10.5,-13.399999618530273,-17.399999618530273,-40.0
,crRNA004:7-33_FirstOrder_05,-5.699999809265137,-5.699999809265137,-6.099999904632568,-10.5,-13.399999618530273,-17.399999618530273,-45.20000076293945
,crRNA004:7-33_FirstOrder_06,-5.599999904632568,-5.599999904632568,-5.900000095367432,-10.5,-13.399999618530273,-17.399999618530273,-40.900001525878906
,crRNA004:7-33_FirstOrder_07,-2.299999952316284,-2.299999952316284,-2.299999952316284,-7.5,-9.300000190734863,-16.100000381469727,-38.900001525878906
,crRNA004:7-33_FirstOrder_08,-1.5,-1.5,-3.5999999046325684,-7.699999809265137,-7.699999809265137,-14.0,-38.400001525878906
,crRNA004:7-33_FirstOrder_09,-7.599999904632568,-7.599999904632568,-7.599999904632568,-11.699999809265137,-13.399999618530273,-19.0,-44.79999923706055
,crRNA004:7-33_FirstOrder_10,-0.5,-0.5,-3.200000047683716,-7.5,-10.5,-16.0,-43.5
,crRNA004:7-33_FirstOrder_11,-3.4000000953674316,-3.4000000953674316,-7.599999904632568,-9.899999618530273,-12.800000190734863,-16.799999237060547,-42.20000076293945
,crRNA004:7-33_FirstOrder_12,-5.400000095367432,-5.400000095367432,-9.100000381469727,-11.399999618530273,-14.300000190734863,-18.299999237060547,-42.20000076293945
,crRNA004:7-33_FirstOrder_13,-5.699999809265137,-5.699999809265137,-5.699999809265137,-9.800000190734863,-11.5,-17.100000381469727,-42.20000076293945
,crRNA004:7-33_FirstOrder_14,-5.699999809265137,-5.699999809265137,-5.900000095367432,-11.5,-14.399999618530273,-18.399999618530273,-41.900001525878906
,crRNA004:7-33_FirstOrder_15,-5.699999809265137,-5.699999809265137,-5.699999809265137,-10.5,-13.399999618530273,-17.399999618530273,-40.79999923706055
,crRNA004:7-33_FirstOrder_16,-5.699999809265137,-5.699999809265137,-5.699999809265137,-10.5,-13.399999618530273,-17.399999618530273,-40.79999923706055
,crRNA004:7-33_FirstOrder_17,-5.699999809265137,-5.699999809265137,-6.400000095367432,-10.5,-11.800000190734863,-17.5,-41.70000076293945
,crRNA004:7-33_FirstOrder_18,-5.699999809265137,-5.699999809265137,-5.800000190734863,-9.800000190734863,-11.5,-17.100000381469727,-42.400001525878906
,crRNA004:7-33_FirstOrder_19,-5.5,-5.5,-7.400000095367432,-11.5,-12.0,-16.899999618530273,-42.20000076293945
,crRNA004:7-33_FirstOrder_20,-3.0999999046325684,-3.0999999046325684,-5.800000190734863,-11.899999618530273,-12.5,-17.0,-42.20000076293945
,crRNA004:7-33_FirstOrder_21,-2.9000000953674316,-2.9000000953674316,-5.800000190734863,-10.5,-13.399999618530273,-17.399999618530273,-42.20000076293945
,crRNA004:7-33_FirstOrder_22,-1.899999976158142,-1.899999976158142,-5.800000190734863,-10.5,-13.0,-17.0,-40.900001525878906
,crRNA004:7-33_FirstOrder_23,-2.200000047683716,-2.200000047683716,-5.800000190734863,-12.0,-17.600000381469727,-21.600000381469727,-43.29999923706055
,crRNA004:7-33_FirstOrder_24,-3.5,-3.5,-6.0,-11.800000190734863,-15.600000381469727,-19.600000381469727,-41.29999923706055
,crRNA004:7-33_FirstOrder_25,-8.0,-8.0,-8.399999618530273,-12.5,-15.800000190734863,-19.799999237060547,-42.79999923706055
,crRNA004:7-33_FirstOrder_26,-5.699999809265137,-5.699999809265137,-5.800000190734863,-11.5,-13.100000381469727,-17.399999618530273,-41.5
,crRNA004:7-33_FirstOrder_27,-5.699999809265137,-5.699999809265137,-6.0,-10.699999809265137,-14.800000190734863,-18.799999237060547,-42.400001525878906
,crRNA005:9-35_FirstOrder_01,-5.699999809265137,-5.699999809265137,-9.100000381469727,-11.100000381469727,-13.5,-20.299999237060547,-46.20000076293945
,crRNA005:9-35_FirstOrder_02,-5.699999809265137,-5.699999809265137,-9.100000381469727,-10.699999809265137,-12.100000381469727,-19.600000381469727,-41.5
,crRNA005:9-35_FirstOrder_03,-5.699999809265137,-5.699999809265137,-9.100000381469727,-9.800000190734863,-11.5,-21.399999618530273,-43.20000076293945
,crRNA005:9-35_FirstOrder_04,-5.699999809265137,-5.699999809265137,-9.100000381469727,-11.399999618530273,-13.800000190734863,-20.5,-40.79999923706055
,crRNA005:9-35_FirstOrder_05,-5.699999809265137,-5.699999809265137,-13.100000381469727,-13.199999809265137,-15.5,-22.399999618530273,-43.400001525878906
,crRNA005:9-35_FirstOrder_06,-5.699999809265137,-5.699999809265137,-7.800000190734863,-11.5,-13.899999618530273,-20.600000381469727,-40.0
,crRNA005:9-35_FirstOrder_07,-5.699999809265137,-5.699999809265137,-8.199999809265137,-11.5,-13.899999618530273,-21.0,-44.79999923706055
,crRNA005:9-35_FirstOrder_08,-5.400000095367432,-5.400000095367432,-9.5,-11.899999618530273,-15.899999618530273,-20.600000381469727,-42.70000076293945
,crRNA005:9-35_FirstOrder_09,-2.0999999046325684,-2.0999999046325684,-7.5,-9.100000381469727,-9.600000381469727,-17.799999237060547,-39.70000076293945
,crRNA005:9-35_FirstOrder_10,-1.600000023841858,-1.600000023841858,-6.800000190734863,-8.399999618530273,-9.100000381469727,-16.399999618530273,-38.79999923706055
,crRNA005:9-35_FirstOrder_11,-7.599999904632568,-7.599999904632568,-11.0,-11.699999809265137,-13.399999618530273,-22.399999618530273,-44.79999923706055
,crRNA005:9-35_FirstOrder_12,-1.0,-1.5,-6.900000095367432,-8.5,-12.399999618530273,-17.100000381469727,-41.5
